ID,Customer.Code,Sentimental.Score,text
180,15008391,0,@ShannonKetcher2 @AJOKERONJACK @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957 @CathyPe78176224… https://t.co/98CyJbGaf8
181,15003312,0,RT @Legalator: @DeboraDeMAGA @AJOKERONJACK @ShannonKetcher2 @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957 @CathyPe78176224 @Isab…
182,15001876,0,@DeboraDeMAGA @AJOKERONJACK @ShannonKetcher2 @musser_benson @Darla_Marlene @ourkidz3 @truthsearch1957… https://t.co/Lni8y0ge51
183,15008974,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
184,15007940,0,"Jimmy, B needs more cash. Literally. <U+0001F60E> @BankofAmerica"
185,15006806,0,RT @truthsearch1957: @AJOKERONJACK @ShannonKetcher2 @Legalator @musser_benson @Darla_Marlene @ourkidz3 @CathyPe78176224 @Isabel1170 @Din_SF…
186,15002330,-1,"No lie, you know it, head on a swivel, slim fit. <U+0001F60E> @BIRDMAN5STAR
@GLOCKInc
@BankofAmerica"
187,15004968,0,RT @StayHomeAmerica: @musser_benson @Legalator @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe78176224 @I…
188,15002346,0,RT @WFB_Fraud: @StayHomeAmerica @musser_benson @Legalator @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
189,15000447,0,RT @Legalator: @StayHomeAmerica @WFB_Fraud @musser_benson @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
190,15005031,0,@StayHomeAmerica @WFB_Fraud @musser_benson @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK… https://t.co/gRYNSMpuSM
191,15002511,0,RT @StayHomeAmerica: @WFB_Fraud @musser_benson @Legalator @ShannonKetcher2 @Darla_Marlene @ourkidz3 @truthsearch1957 @AJOKERONJACK @CathyPe…
192,15007483,0,"My man’s hallucinating, B can see. Lmao. <U+0001F60E> @HBO
@ParamountPics
@BankofAmerica"
193,15001227,0,I had a random 40$ in my account. Took a Uber. Now I’m overdrawn 13$. Thanks @BankofAmerica https://t.co/sIbx0RZu1z
